GeneName	Sources	Studies	Traits
FN3KRP	MAGMA	MAGIC2021_HbA1c	HbA1C
FNBP1L	DEPICT	Lagou2023	RandomGlucose
FNBP4	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
FNDC3B	MAGMA	MAGIC2021_HbA1c	HbA1C
FNDC4	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,Lagou2023	T2D,FG,FI,RandomGlucose
FOCAD	MAGMA	Mahajan2022	T2D
FOXA2	pcHiC,MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,Lagou2023	T2D,FG,RandomGlucose
FOXA3	MAGMA,DEPICT	Mahajan2022,MadsenAL_xinsG30,Lagou2023	T2D,FirstPhaseInsRel,RandomGlucose
FOXK2	MAGMA	MAGIC2021_HbA1c	HbA1C
FOXN2	MAGMA	MAGIC2021_HbA1c	HbA1C
FOXN3	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
FRAT1	pcHiC,MAGMA	Mahajan2022	T2D
FRAT2	MAGMA	Mahajan2022	T2D
FRMD8	DEPICT	Lagou2023	RandomGlucose
FTMG020686	eTWAS	MAGIC2021_HbA1c	HbA1C
FTMG020932	eTWAS	Mahajan2022	T2D
FTMG022498	pcHiC	Mahajan2022	T2D
FTMG045062	eTWAS	Mahajan2022	T2D
FTMG046155	pcHiC	Mahajan2022	T2D
FTMT23100038673.1_NDUFAF6	sTWAS	MAGIC2021_FG	FG
FTO	MAGMA	Mahajan2022	T2D
FXYD2	TIGEReQTL,TIGERCASE	Mahajan2018	T2D
G6PC2	MAGMA,sTWAS,DEPICT	MAGIC2021_FG,MAGIC2021_HbA1c,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_HOMAB,Lagou2023	FG,HbA1C,FirstPhaseInsRel,HOMAB,RandomGlucose
GAD2	DEPICT	Lagou2023	RandomGlucose
GADD45GIP1	MAGMA	Mahajan2022	T2D
GAK	pcHiC	Mahajan2022	T2D
GALK1	DEPICT	Lagou2023	RandomGlucose
GALNT3	MAGMA	Mahajan2022	T2D
GAP43	pcHiC	Mahajan2022	T2D
GAS6	MAGMA	MAGIC2021_HbA1c	HbA1C
GATAD2A	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
GATAD2B	DEPICT	Lagou2023	RandomGlucose
GBA	MAGMA,sTWAS	MAGIC2021_HbA1c	HbA1C
GBAP1	MAGMA	MAGIC2021_HbA1c	HbA1C
GCDH	MAGMA	Mahajan2022	T2D
GCK	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c,MAGIC_2hGlu,Lagou2023	T2D,FG,HbA1C,2hGlu,RandomGlucose
GCKR	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,Lagou2023	T2D,FG,FI,RandomGlucose
GDAP1L1	MAGMA	Mahajan2022	T2D
GDAP2	DEPICT	Lagou2023	RandomGlucose
GEMIN2	DEPICT	Lagou2023	RandomGlucose
GID4	pcHiC,MAGMA	Mahajan2022	T2D
GIGYF1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
GIN1	MAGMA	Mahajan2022	T2D
GINS4	MAGMA	Mahajan2022	T2D
GIPR	pcHiC,MAGMA	Mahajan2022,MAGIC_2hGlu,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_di	T2D,2hGlu,FirstPhaseInsRel,DispositionIndex
GLIS3	pcHiC,MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,Lagou2023	T2D,FG,RandomGlucose
GLP1R	pcHiC,MAGMA,sTWAS	Mahajan2022,MAGIC2021_FG	T2D,FG
GLS2	MAGMA	MAGIC2021_FG	FG
GNAS	pcHiC,MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
GNAS-AS1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
GNB2	DEPICT	Lagou2023	RandomGlucose
GOLGA3	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
GOLT1B	DEPICT	Lagou2023	RandomGlucose
GOPC	pcHiC,MAGMA	Mahajan2022	T2D
GPAM	DEPICT	Lagou2023	RandomGlucose
GPBAR1	MAGMA	MAGIC2021_HbA1c	HbA1C
GPBP1L1	MAGMA	Mahajan2022	T2D
GPN1	MAGMA,sTWAS,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,MAGIC_2hGlu,Lagou2023	T2D,FG,FI,2hGlu,RandomGlucose
GPR155	MAGMA	MAGIC2021_HbA1c	HbA1C
GPR21	MAGMA	Mahajan2022	T2D
GPSM1	MAGMA,eTWAS,sTWAS,TIGEReQTL,DEPICT	Mahajan2022,MAGIC2021_FG,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_di,Mahajan2018,Lagou2023	T2D,FG,FirstPhaseInsRel,DispositionIndex,RandomGlucose
GRB10	pcHiC,MAGMA,sTWAS,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,Lagou2023	T2D,FG,FI,FirstPhaseInsRel,RandomGlucose
GRB14	MAGMA	Mahajan2022	T2D
GTF3C2	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,Lagou2023	T2D,FG,FI,RandomGlucose
GTPBP10	DEPICT	Lagou2023	RandomGlucose
GTPBP2	pcHiC	Mahajan2022	T2D
GUSBP5	MAGMA	MAGIC2021_HbA1c	HbA1C
GYLTL1B	MAGMA	Mahajan2022,MAGIC2021_FG	T2D,FG
H3F3B	DEPICT	Lagou2023	RandomGlucose
HARBI1	DEPICT	Lagou2023	RandomGlucose
HAUS6	MAGMA,eTWAS,TIGEReQTL	Mahajan2022,Mahajan2018	T2D
HAVCR1	MAGMA	MAGIC2021_HbA1c	HbA1C
HAVCR2	MAGMA	MAGIC2021_HbA1c	HbA1C
HBP1	DEPICT	Lagou2023	RandomGlucose
HBS1L	MAGMA	MAGIC2021_HbA1c	HbA1C
HCN3	MAGMA	MAGIC2021_HbA1c	HbA1C
HDDC3	MAGMA	Mahajan2022	T2D
HDGF	DEPICT	Lagou2023	RandomGlucose
HEATR5A	DEPICT	Lagou2023	RandomGlucose
