GeneName	Sources	Studies	Traits
MIR125B1	MAGMA	Mahajan2022	T2D
MIR4453	pcHiC,MAGMA	Mahajan2022	T2D
MLX	MAGMA	Mahajan2022	T2D
MLXIPL	MAGMA	MAGIC2021_HbA1c	HbA1C
MNX1	pcHiC,MAGMA	Mahajan2022	T2D
MNX1-AS1	pcHiC	Mahajan2022	T2D
MNX1-AS2	pcHiC,MAGMA	Mahajan2022	T2D
MOB1B	MAGMA	Mahajan2022	T2D
MON1A	MAGMA	Mahajan2022	T2D
MOV10	MAGMA	Mahajan2022	T2D
MPHOSPH9	pcHiC,MAGMA,sTWAS	Mahajan2022,Mahajan2018	T2D
MPI	MAGMA	MAGIC2021_FG	FG
MPST	MAGMA	MAGIC2021_HbA1c	HbA1C
MPV17	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,Lagou2023	T2D,FG,RandomGlucose
MRPL14	pcHiC	Mahajan2022	T2D
MRPL24	DEPICT	Lagou2023	RandomGlucose
MRPL28	pcHiC,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
MRPL33	MAGMA,DEPICT	MAGIC2021_FG,MAGIC_FI,Lagou2023	FG,FI,RandomGlucose
MRPL38	DEPICT	Lagou2023	RandomGlucose
MRPL45P2	MAGMA,sTWAS	MAGIC2021_FG	FG
MRPS12	DEPICT	Lagou2023	RandomGlucose
MRPS18A	pcHiC	Mahajan2022	T2D
MRPS24	DEPICT	Lagou2023	RandomGlucose
MRPS28	MAGMA	MAGIC2021_FG	FG
MRPS30	pcHiC,MAGMA	Mahajan2022	T2D
MRPS33	pcHiC,MAGMA	Mahajan2022	T2D
MRPS35	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
MSRA	MAGMA	Mahajan2022	T2D
MST1	MAGMA	MAGIC2021_FG	FG
MST1R	MAGMA	Mahajan2022	T2D
MTAP	pcHiC	Mahajan2022	T2D
MTCH2	DEPICT	Lagou2023	RandomGlucose
MTF2	DEPICT	Lagou2023	RandomGlucose
MTMR3	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,Lagou2023	T2D,FG,RandomGlucose
MTNR1B	MAGMA,TIGEReQTL,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_di,MadsenAL_dibig,MadsenAL_HOMAB,Mahajan2018,Lagou2023	T2D,FG,HbA1C,FirstPhaseInsRel,DispositionIndex,HOMAB,RandomGlucose
MTRF1L	MAGMA	Mahajan2022,MAGIC2021_FG	T2D,FG
MUC1	sTWAS	MAGIC2021_HbA1c	HbA1C
MUC3A	DEPICT	Lagou2023	RandomGlucose
MUSTN1	MAGMA	MAGIC2021_HbA1c	HbA1C
MXD3	pcHiC	Mahajan2022	T2D
MYC	pcHiC	Mahajan2022	T2D
MYL7	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c,MAGIC_2hGlu,Lagou2023	T2D,FG,HbA1C,2hGlu,RandomGlucose
MYO3A	pcHiC,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
MYO9B	MAGMA	MAGIC2021_HbA1c	HbA1C
MYRF	MAGMA	MAGIC2021_FG,MAGIC2021_HbA1c	FG,HbA1C
NAA25	MAGMA,DEPICT	MAGIC2021_HbA1c,Lagou2023	HbA1C,RandomGlucose
NAGLU	MAGMA	Mahajan2022	T2D
NBPF7	TIGEReQTL	Mahajan2018	T2D
NCAPG	pcHiC	Mahajan2022	T2D
NCKIPSD	DEPICT	Lagou2023	RandomGlucose
NCR3LG1	MAGMA	Mahajan2022	T2D
NC_000006.11	sTWAS	Mahajan2018	T2D
NDUFA11	DEPICT	Lagou2023	RandomGlucose
NDUFA4L2	DEPICT	Lagou2023	RandomGlucose
NDUFAF3	DEPICT	Lagou2023	RandomGlucose
NDUFAF6	MAGMA,sTWAS	Mahajan2022,MAGIC2021_FG	T2D,FG
NDUFB2	pcHiC	Mahajan2022	T2D
NDUFS3	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
NDUFS4	pcHiC	Mahajan2022	T2D
NEAT1	DEPICT	Lagou2023	RandomGlucose
NEIL1	MAGMA	Mahajan2022	T2D
NEK8	MAGMA	MAGIC2021_HbA1c	HbA1C
NEUROD1	DEPICT	Lagou2023	RandomGlucose
NF1	MAGMA,sTWAS	Mahajan2022	T2D
NFATC3	MAGMA	MAGIC2021_FG	FG
NFE2L1	MAGMA	Mahajan2022	T2D
NFIC	DEPICT	Lagou2023	RandomGlucose
NFKB1	pcHiC	Mahajan2022	T2D
NFKBIB	DEPICT	Lagou2023	RandomGlucose
NFX1	DEPICT	Lagou2023	RandomGlucose
NHSL1	MAGMA,sTWAS	Mahajan2022,Mahajan2018	T2D
NICN1	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
NKX6-3	MAGMA	Mahajan2022,MadsenAL_xinsdG30,MadsenAL_cir	T2D,FirstPhaseInsRel
NMD3	DEPICT	Lagou2023	RandomGlucose
NME4	DEPICT	Lagou2023	RandomGlucose
NMT1	DEPICT	Lagou2023	RandomGlucose
NOS3	pcHiC	Mahajan2022	T2D
NOSTRIN	MAGMA,DEPICT	MAGIC2021_FG,MAGIC2021_HbA1c,Lagou2023	FG,HbA1C,RandomGlucose
NOTCH1	DEPICT	Lagou2023	RandomGlucose
NOTCH2	MAGMA	Mahajan2022	T2D
NPC1	TIGEReQTL,TIGERCASE	Mahajan2018	T2D
NPC1L1	MAGMA,DEPICT	MAGIC2021_HbA1c,Lagou2023	HbA1C,RandomGlucose
NPEPL1	sTWAS	Mahajan2022	T2D
NPEPPS	DEPICT	Lagou2023	RandomGlucose
NPM1P47	MAGMA	Mahajan2022,MAGIC2021_FG,MAGIC_2hGlu,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_dibig	T2D,FG,2hGlu,FirstPhaseInsRel,DispositionIndex
NR1H3	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
NRBF2	MAGMA	Mahajan2022	T2D
NRBP1	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,Lagou2023	T2D,FG,FI,RandomGlucose
NRXN3	MAGMA	Mahajan2022	T2D
NSD1	pcHiC	Mahajan2022	T2D
NT5DC2	sTWAS	MAGIC_FI	FI
NTRK2	DEPICT	Lagou2023	RandomGlucose
NUCB2	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
NUDCD3	pcHiC,MAGMA,DEPICT	Mahajan2022,MAGIC2021_HbA1c,Lagou2023	T2D,HbA1C,RandomGlucose
NUDT5	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
NUFIP2	DEPICT	Lagou2023	RandomGlucose
NUP133	DEPICT	Lagou2023	RandomGlucose
NUP160	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
NUPR1L	eTWAS	Mahajan2022	T2D
NUS1	pcHiC,MAGMA	Mahajan2022	T2D
OASL	MAGMA	Mahajan2022,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_di	T2D,FirstPhaseInsRel,DispositionIndex
OGDH	DEPICT	Lagou2023	RandomGlucose
OGFOD2	pcHiC	Mahajan2022	T2D
OPTN	pcHiC	Mahajan2022	T2D
OR7E14P	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
ORAOV1	MAGMA	Mahajan2022	T2D
OSER1	MAGMA	Mahajan2022	T2D
OSER1-AS1	MAGMA	Mahajan2022	T2D
OST4	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
OXSR1	DEPICT	Lagou2023	RandomGlucose
P2RX1	pcHiC	Mahajan2022	T2D
P2RX4	MAGMA,sTWAS	Mahajan2022	T2D
P2RX7	MAGMA	Mahajan2022	T2D
P2RY1	pcHiC,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
P4HTM	DEPICT	Lagou2023	RandomGlucose
PABPC1L	DEPICT	Lagou2023	RandomGlucose
PABPC4	pcHiC,MAGMA	Mahajan2022	T2D
PACS1	MAGMA	Mahajan2022	T2D
PACSIN3	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
PAK6	pcHiC	Mahajan2022	T2D
PAM	MAGMA,sTWAS	Mahajan2022,Mahajan2018	T2D
PANK3	DEPICT	Lagou2023	RandomGlucose
PAPLN	MAGMA	MAGIC2021_HbA1c	HbA1C
PAPSS2	DEPICT	Lagou2023	RandomGlucose
PCBD1	eTWAS,TIGEReQTL	Mahajan2018	T2D
PCNX	MAGMA	MAGIC_FI	FI
PCNXL3	pcHiC,MAGMA	Mahajan2022	T2D
PCSK1	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
PDCD4	pcHiC,MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
PDCD4-AS1	pcHiC,MAGMA	Mahajan2022	T2D
PDCD5	MAGMA	MAGIC2021_HbA1c	HbA1C
PDE2A	MAGMA,DEPICT	MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,Lagou2023	FirstPhaseInsRel,RandomGlucose
PDE3B	DEPICT	Lagou2023	RandomGlucose
PDE8B	pcHiC,MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
PDHB	pcHiC,MAGMA	Mahajan2022	T2D
PDHX	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
PDIA5	DEPICT	Lagou2023	RandomGlucose
PDIK1L	MAGMA,sTWAS	Mahajan2022	T2D
PDS5B	pcHiC	Mahajan2022	T2D
PDSS2	pcHiC	Mahajan2022	T2D
PDX1	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
PDX1-AS1	MAGMA	MAGIC2021_FG	FG
PDZD3	MAGMA	MAGIC2021_HbA1c	HbA1C
PEAK1	pcHiC,MAGMA	Mahajan2022	T2D
PELI1	DEPICT	Lagou2023	RandomGlucose
PELO	pcHiC,MAGMA	Mahajan2022	T2D
PEPD	MAGMA	Mahajan2022	T2D
PEX16	MAGMA	MAGIC2021_FG	FG
PEX7	pcHiC	Mahajan2022	T2D
PFKFB4	DEPICT	Lagou2023	RandomGlucose
PFKM	MAGMA	MAGIC2021_HbA1c	HbA1C
PFN4	MAGMA	MAGIC2021_HbA1c	HbA1C
PGAM2	DEPICT	Lagou2023	RandomGlucose
PGAM5	DEPICT	Lagou2023	RandomGlucose
PGAP3	MAGMA,eTWAS,sTWAS	Mahajan2022	T2D
PGM1	MAGMA	Mahajan2022	T2D
PHF21A	pcHiC	Mahajan2022	T2D
PHLPP2	DEPICT	Lagou2023	RandomGlucose
PIEZO1	MAGMA,DEPICT	MAGIC2021_HbA1c,Lagou2023	HbA1C,RandomGlucose
PIGC	MAGMA	Mahajan2022	T2D
PIGS	MAGMA	MAGIC2021_HbA1c	HbA1C
PIK3C2A	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
PIK3C2B	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
PIK3C3	MAGMA	Mahajan2022	T2D
PIK3R3	pcHiC,MAGMA	Mahajan2022,MAGIC2021_HbA1c	T2D,HbA1C
PILRB	DEPICT	Lagou2023	RandomGlucose
PIM3	pcHiC,MAGMA	Mahajan2022	T2D
PINX1	pcHiC,MAGMA	Mahajan2022	T2D
PISD	pcHiC	Mahajan2022	T2D
PITPNC1	MAGMA,DEPICT	MadsenAL_di,Lagou2023	DispositionIndex,RandomGlucose
PITPNM2	pcHiC	Mahajan2022	T2D
PLA2G15	MAGMA	MAGIC2021_FG	FG
PLA2G4B	pcHiC,MAGMA	Mahajan2022	T2D
PLCG1	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
PLD1	MAGMA	MAGIC2021_HbA1c	HbA1C
PLEKHA1	MAGMA,eTWAS,TIGEReQTL,TIGERCASE	Mahajan2022,Mahajan2018	T2D
PLEKHH3	MAGMA	Mahajan2022	T2D
PLEKHM1	DEPICT	Lagou2023	RandomGlucose
PLIN2	MAGMA	Mahajan2022	T2D
PMPCA	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,Lagou2023	T2D,FG,RandomGlucose
PNKD	MAGMA	MAGIC2021_HbA1c	HbA1C
PNN	DEPICT	Lagou2023	RandomGlucose
PNPLA3	MAGMA	Mahajan2022	T2D
POC5	MAGMA	Mahajan2022	T2D
POLA2	DEPICT	Lagou2023	RandomGlucose
POLD2	pcHiC,MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c,Lagou2023	T2D,FG,HbA1C,RandomGlucose
POLE	DEPICT	Lagou2023	RandomGlucose
POLH	pcHiC	Mahajan2022	T2D
POLK	MAGMA	Mahajan2022	T2D
POLM	pcHiC,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
POLR1D	MAGMA	MAGIC2021_FG	FG
POLR3A	pcHiC	Mahajan2022	T2D
POMGNT1	pcHiC	Mahajan2022	T2D
POP7	DEPICT	Lagou2023	RandomGlucose
POR	DEPICT	Lagou2023	RandomGlucose
PPARD	MAGMA	MAGIC_FI	FI
PPARG	MAGMA	Mahajan2022,MAGIC2021_HbA1c,MAGIC_FI	T2D,HbA1C,FI
PPDPF	DEPICT	Lagou2023	RandomGlucose
PPIEL	MAGMA	Mahajan2022	T2D
PPIP5K2	MAGMA,sTWAS	Mahajan2022,Mahajan2018	T2D
PPM1G	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,Lagou2023	T2D,FG,FI,RandomGlucose
PPM1L	DEPICT	Lagou2023	RandomGlucose
PPP1CB	DEPICT	Lagou2023	RandomGlucose
PPP1R21	MAGMA	MAGIC2021_HbA1c	HbA1C
PPP1R35	DEPICT	Lagou2023	RandomGlucose
PPP3CA	pcHiC,MAGMA	Mahajan2022	T2D
PPP4C	MAGMA	Mahajan2022	T2D
PPT2	pcHiC	Mahajan2022	T2D
PPT2-EGFL8	pcHiC	Mahajan2022	T2D
PRC1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
PRCC	DEPICT	Lagou2023	RandomGlucose
PRDM16	DEPICT	Lagou2023	RandomGlucose
PREB	DEPICT	Lagou2023	RandomGlucose
PRELID1	pcHiC,MAGMA	Mahajan2022	T2D
PRELID1P1	MAGMA	Mahajan2022	T2D
PREPL	pcHiC	Mahajan2022	T2D
PRICKLE2	MAGMA	Mahajan2022	T2D
PRKAR2A	DEPICT	Lagou2023	RandomGlucose
PRKAR2B	DEPICT	Lagou2023	RandomGlucose
PRKG1	DEPICT	Lagou2023	RandomGlucose
PROCA1	MAGMA	MAGIC2021_HbA1c	HbA1C
PROX1	pcHiC,MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,Lagou2023	T2D,FG,RandomGlucose
PROX1-AS1	MAGMA	Mahajan2022,MAGIC2021_FG	T2D,FG
PRR14L	MAGMA	Mahajan2022	T2D
PRRT1	pcHiC	Mahajan2022	T2D
PSEN1	MAGMA	MAGIC2021_HbA1c	HbA1C
PSMA3	MAGMA	Mahajan2022	T2D
PSMC3	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
PSMC3IP	MAGMA	Mahajan2022	T2D
PSMD13	MAGMA	MAGIC2021_HbA1c	HbA1C
PSMD6	MAGMA	Mahajan2022	T2D
PSPH	eTWAS	Mahajan2022	T2D
PSPHP1	MAGMA,eTWAS	Mahajan2022	T2D
PSRC1	eTWAS	Mahajan2022	T2D
PTCH1	MAGMA	Mahajan2022	T2D
PTEN	pcHiC	Mahajan2022	T2D
PTGFRN	MAGMA,TIGEReQTL,TIGERCASE	Mahajan2022,Mahajan2018	T2D
PTPMT1	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
PTPN11	DEPICT	Lagou2023	RandomGlucose
PTPN9	MAGMA	Mahajan2022	T2D
PTPRF	DEPICT	Lagou2023	RandomGlucose
PTPRJ	MAGMA,sTWAS,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
PXK	MAGMA,eTWAS	Mahajan2022	T2D
QARS	DEPICT	Lagou2023	RandomGlucose
QPCTL	MAGMA	Mahajan2022,MAGIC2021_FG,MAGIC_2hGlu,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_di	T2D,FG,2hGlu,FirstPhaseInsRel,DispositionIndex
QRICH1	DEPICT	Lagou2023	RandomGlucose
R3HDM2	DEPICT	Lagou2023	RandomGlucose
RAB11FIP3	DEPICT	Lagou2023	RandomGlucose
RAB11FIP4	DEPICT	Lagou2023	RandomGlucose
RAB1A	pcHiC,MAGMA	Mahajan2022	T2D
RAB24	pcHiC,MAGMA	Mahajan2022	T2D
RAB34	MAGMA	MAGIC2021_HbA1c	HbA1C
RAB3GAP2	DEPICT	Lagou2023	RandomGlucose
RAB40B	MAGMA	MAGIC2021_HbA1c	HbA1C
RAB7L1	eTWAS	Mahajan2022	T2D
RABEP2	MAGMA	Mahajan2022	T2D
RABGAP1	MAGMA	Mahajan2022	T2D
RAD21	pcHiC	Mahajan2022	T2D
RAD23A	pcHiC,MAGMA	Mahajan2022	T2D
RAI1	pcHiC,MAGMA,sTWAS	Mahajan2022,MAGIC2021_HbA1c	T2D,HbA1C
RALY	MAGMA	Mahajan2022	T2D
RAPGEF4	DEPICT	Lagou2023	RandomGlucose
RARA	DEPICT	Lagou2023	RandomGlucose
RARB	DEPICT	Lagou2023	RandomGlucose
RARS	DEPICT	Lagou2023	RandomGlucose
RASA1	DEPICT	Lagou2023	RandomGlucose
RASGRP1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
RBBP5	pcHiC	Mahajan2022	T2D
RBKS	MAGMA,DEPICT	MAGIC2021_FG,MAGIC_FI,Lagou2023	FG,FI,RandomGlucose
RBM25	MAGMA	MAGIC2021_HbA1c	HbA1C
RBM5	pcHiC,MAGMA	Mahajan2022	T2D
RBM6	MAGMA,sTWAS	Mahajan2022	T2D
RBMS1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
RCCD1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
RCN2	MAGMA	Mahajan2022	T2D
RCOR1	pcHiC	Mahajan2022	T2D
RECQL4	pcHiC	Mahajan2022	T2D
REEP3	pcHiC,MAGMA	Mahajan2022,MAGIC2021_FG	T2D,FG
RELA	MAGMA	Mahajan2022	T2D
RELB	DEPICT	Lagou2023	RandomGlucose
RELN	MAGMA	Mahajan2022	T2D
RFC5	MAGMA	Mahajan2022	T2D
RFT1	MAGMA	Mahajan2022	T2D
RFX1	DEPICT	Lagou2023	RandomGlucose
RFX3	pcHiC	Mahajan2022	T2D
RFXANK	pcHiC	Mahajan2022	T2D
RGS17	pcHiC,MAGMA,TIGEReQTL	Mahajan2022,MAGIC2021_FG,Mahajan2018	T2D,FG
RGS19	eTWAS	Mahajan2022,Mahajan2018	T2D
RHOA	DEPICT	Lagou2023	RandomGlucose
RIC8A	MAGMA	MAGIC2021_HbA1c	HbA1C
RILPL2	MAGMA	Mahajan2022	T2D
RMC1	sTWAS	Mahajan2022	T2D
RMST	TIGEReQTL	Mahajan2018	T2D
RNF123	DEPICT	Lagou2023	RandomGlucose
RNF212	pcHiC	Mahajan2022	T2D
RNF215	DEPICT	Lagou2023	RandomGlucose
RNF34	DEPICT	Lagou2023	RandomGlucose
RNF6	MAGMA,eTWAS,TIGEReQTL,DEPICT	Mahajan2022,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,Mahajan2018,Lagou2023	T2D,FirstPhaseInsRel,RandomGlucose
RNFT1	DEPICT	Lagou2023	RandomGlucose
ROBO2	sTWAS	Mahajan2022	T2D
ROR1	MAGMA	Mahajan2022	T2D
RP1-85F18.5	MAGMA	Mahajan2022	T2D
RP11-102M11.2	MAGMA	Mahajan2022	T2D
RP11-104N10.1	pcHiC	Mahajan2022	T2D
RP11-105N14.1	pcHiC	Mahajan2022	T2D
RP11-109N23.4	MAGMA	MAGIC2021_HbA1c	HbA1C
RP11-10A14.4	MAGMA	MAGIC_FI	FI
RP11-10L12.4	pcHiC	Mahajan2022	T2D
RP11-110I1.13	MAGMA	Mahajan2022	T2D
RP11-111M22.3	pcHiC,MAGMA	Mahajan2022	T2D
RP11-112L6.4	MAGMA	Mahajan2022	T2D
RP11-115K3.1	MAGMA	Mahajan2022	T2D
RP11-1348G14.1	MAGMA	MAGIC2021_HbA1c	HbA1C
RP11-145E5.5	pcHiC	Mahajan2022	T2D
RP11-150O12.1	MAGMA	Mahajan2022	T2D
RP11-154D17.1	MAGMA	Mahajan2022	T2D
RP11-162A12.2	MAGMA	Mahajan2022	T2D
RP11-190P13.2	MAGMA	Mahajan2022	T2D
RP11-192H23.4	MAGMA	MAGIC2021_HbA1c	HbA1C
RP11-214K3.24	MAGMA	Mahajan2022	T2D
RP11-219B17.1	MAGMA	MAGIC2021_FG	FG
RP11-24J23.2	pcHiC	Mahajan2022	T2D
RP11-254I22.1	MAGMA	MAGIC2021_FG	FG
RP11-254I22.3	MAGMA	MAGIC2021_FG	FG
RP11-282O18.3	MAGMA	Mahajan2022	T2D
RP11-2B6.3	pcHiC,MAGMA	Mahajan2022	T2D
RP11-331F4.4	MAGMA	Mahajan2022	T2D
RP11-347C18.3	MAGMA	Mahajan2022,MAGIC2021_FG	T2D,FG
RP11-349A22.5	MAGMA,sTWAS	Mahajan2022	T2D
RP11-358M14.2	MAGMA	Mahajan2022,MAGIC2021_FG	T2D,FG
RP11-360L9.4	MAGMA	Mahajan2022	T2D
RP11-368I7.4	pcHiC	Mahajan2022	T2D
RP11-370I10.6	MAGMA	MAGIC2021_HbA1c	HbA1C
RP11-399D6.2	MAGMA	Mahajan2022	T2D
RP11-400F19.6	MAGMA	Mahajan2022	T2D
RP11-413B19.2	MAGMA	Mahajan2022	T2D
RP11-430N14.4	MAGMA	MAGIC2021_HbA1c,MAGIC_FI	HbA1C,FI
RP11-435O5.5	MAGMA	Mahajan2022	T2D
RP11-452G18.2	MAGMA	Mahajan2022	T2D
RP11-455F5.3	MAGMA	Mahajan2022	T2D
RP11-475O6.1	sTWAS	Mahajan2022	T2D
RP11-478J18.2	TIGEReQTL	Mahajan2018	T2D
RP11-507M3.1	MAGMA	MAGIC2021_HbA1c	HbA1C
RP11-509J21.1	pcHiC	Mahajan2022	T2D
RP11-513I15.6	MAGMA	Mahajan2022,MAGIC_FI	T2D,FI
RP11-528M18.2	TIGEReQTL	Mahajan2018	T2D
RP11-53O19.1	pcHiC,MAGMA	Mahajan2022	T2D
RP11-540A21.2	MAGMA	MAGIC2021_HbA1c	HbA1C
RP11-555K12.1	MAGMA	Mahajan2022	T2D
RP11-582J16.5	TIGEReQTL	Mahajan2018	T2D
RP11-586D19.1	MAGMA	Mahajan2022	T2D
RP11-600F24.7	TIGEReQTL	Mahajan2018	T2D
RP11-613D13.5	TIGERCASE	Mahajan2018	T2D
RP11-638I2.10	MAGMA	MAGIC2021_FG,MAGIC2021_HbA1c	FG,HbA1C
RP11-643M14.1	MAGMA	Mahajan2022,MAGIC2021_FG,MAGIC_2hGlu,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_dibig	T2D,FG,2hGlu,FirstPhaseInsRel,DispositionIndex
RP11-673E1.1	MAGMA	MAGIC2021_HbA1c	HbA1C
RP11-673E1.3	MAGMA	MAGIC2021_HbA1c	HbA1C
RP11-728F11.3	TIGERCASE	Mahajan2018	T2D
RP11-755F10.1	MAGMA,eTWAS	Mahajan2022	T2D
RP11-80I15.1	MAGMA	Mahajan2022	T2D
RP11-817O13.8	TIGEReQTL	Mahajan2018	T2D
RP11-860B13.1	MAGMA	Mahajan2022	T2D
RP11-894J14.5	MAGMA	Mahajan2022	T2D
RP11-89K21.1	eTWAS	MAGIC2021_HbA1c	HbA1C
RP11-930P14.1	MAGMA	Mahajan2022,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_di	T2D,FirstPhaseInsRel,DispositionIndex
RP11-95P13.1	MAGMA	MAGIC_FI	FI
RP13-578N3.3	MAGMA	MAGIC2021_HbA1c	HbA1C
RP1L1	MAGMA	Mahajan2022,MAGIC2021_HbA1c	T2D,HbA1C
RP3-473L9.4	MAGMA	MAGIC2021_HbA1c	HbA1C
RP4-533D7.5	MAGMA	Mahajan2022	T2D
RP4-613A2.1	MAGMA	MAGIC2021_FG	FG
RP4-756G23.5	MAGMA	Mahajan2022	T2D
RP4-814D15.2	MAGMA	Mahajan2022	T2D
RP5-1120P11.1	pcHiC	Mahajan2022	T2D
RP5-1125A11.1	MAGMA	Mahajan2022	T2D
RP5-881L22.5	MAGMA	Mahajan2022	T2D
RPAP1	MAGMA	Mahajan2022	T2D
RPL13	pcHiC,MAGMA	Mahajan2022	T2D
RPL22L1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
RPL23A	MAGMA	MAGIC2021_HbA1c	HbA1C
RPL6	MAGMA	MAGIC2021_HbA1c	HbA1C
RPL8	pcHiC,MAGMA,sTWAS	Mahajan2022,Mahajan2018	T2D
RPP14	pcHiC,MAGMA	Mahajan2022	T2D
RPP25	MAGMA	MAGIC2021_FG	FG
RPS13	MAGMA	Mahajan2022	T2D
RPS24	pcHiC	Mahajan2022	T2D
RPS6KB1	DEPICT	Lagou2023	RandomGlucose
RPTOR	MAGMA	Mahajan2022	T2D
RRAGA	pcHiC,MAGMA	Mahajan2022	T2D
RRAS2	DEPICT	Lagou2023	RandomGlucose
RREB1	pcHiC,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
RRNAD1	DEPICT	Lagou2023	RandomGlucose
RSPH9	pcHiC	Mahajan2022	T2D
RWDD4	DEPICT	Lagou2023	RandomGlucose
SAE1	pcHiC,MAGMA	Mahajan2022	T2D
SATB1	DEPICT	Lagou2023	RandomGlucose
SAXO1	TIGEReQTL	Mahajan2018	T2D
SAYSD1	MAGMA	MAGIC2021_FG	FG
SBF2-AS1	MAGMA	MAGIC2021_HbA1c	HbA1C
SC22CB-1E7.1	MAGMA	Mahajan2022	T2D
SCAMP2	MAGMA	MAGIC2021_FG	FG
SCAMP3	MAGMA,sTWAS	MAGIC2021_HbA1c,Mahajan2018	HbA1C,T2D
SCARNA6	MAGMA	Mahajan2022	T2D
SCD5	pcHiC,MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
SCRN3	MAGMA	MAGIC2021_HbA1c	HbA1C
SCRT1	MAGMA	Mahajan2022	T2D
SCYL1	MAGMA	Mahajan2022	T2D
SDCCAG3	MAGMA,sTWAS,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c,Lagou2023	T2D,FG,HbA1C,RandomGlucose
SEC14L2	DEPICT	Lagou2023	RandomGlucose
SEC16A	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
SEC16B	MAGMA	Mahajan2022	T2D
SEC22A	DEPICT	Lagou2023	RandomGlucose
SEC23A	DEPICT	Lagou2023	RandomGlucose
SEC61A2	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
SENP1	MAGMA	MAGIC2021_HbA1c	HbA1C
SENP2	MAGMA	Mahajan2022	T2D
